Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40162856,09/02/2018 12:01:55 AM,09/02/2018 02:31:46 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11428,91-19 220 STREET,220 STREET,91 ROAD,92 AVENUE,,,ADDRESS,QUEENS VILLAGE,,Precinct,Closed,09/02/2018 08:01:55 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 02:31:46 AM,13 QUEENS,4107130036,QUEENS,1056561,203792,MOBILE,Unspecified,QUEENS,,,,,,,,40.72574310607599,-73.7391127237572,"(40.72574310607599, -73.7391127237572)"
40162788,09/02/2018 12:02:06 AM,09/02/2018 12:39:03 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11249,117 SOUTH 4 STREET,SOUTH 4 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2018 08:02:06 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 12:39:03 AM,01 BROOKLYN,3024300029,BROOKLYN,994369,198723,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71211969078851,-73.96349967554994,"(40.71211969078851, -73.96349967554994)"
40168928,09/02/2018 12:02:11 AM,09/02/2018 03:41:38 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10314,293 LANDER AVENUE,LANDER AVENUE,HIRSCH LANE,GRAHAM AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/02/2018 08:02:11 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 03:41:38 AM,02 STATEN ISLAND,,STATEN ISLAND,937424,163207,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61451819647713,-74.16865957088329,"(40.61451819647713, -74.16865957088329)"
40167027,09/02/2018 12:02:15 AM,09/02/2018 02:41:00 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10466,4147 ELY AVENUE,ELY AVENUE,EDENWALD AVENUE,BUSSING AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2018 08:02:15 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/02/2018 02:41:00 AM,12 BRONX,2050100021,BRONX,1026623,264827,PHONE,Unspecified,BRONX,,,,,,,,40.893461009301035,-73.84673898113826,"(40.893461009301035, -73.84673898113826)"
40169266,09/02/2018 12:02:23 AM,09/02/2018 01:06:00 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,251 HART STREET,HART STREET,THROOP AVENUE,MARCUS GARVEY BOULEVARD,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2018 08:02:23 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 01:06:00 AM,03 BROOKLYN,3017690055,BROOKLYN,1000569,192145,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69405536594004,-73.94115155260067,"(40.69405536594004, -73.94115155260067)"
40166484,09/02/2018 12:02:26 AM,09/02/2018 07:30:37 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11435,139-83 86 AVENUE,86 AVENUE,139 STREET,143 STREET,,,ADDRESS,JAMAICA,,Precinct,Closed,09/02/2018 08:02:26 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 07:30:37 AM,08 QUEENS,4097100068,QUEENS,1035875,197389,MOBILE,Unspecified,QUEENS,,,,,,,,40.70831335890915,-73.81379355503178,"(40.70831335890915, -73.81379355503178)"
40165892,09/02/2018 12:02:34 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,11201,1 WATER STREET,WATER STREET,FULTON STREET,BEND,,,ADDRESS,BROOKLYN,,N/A,Open,09/16/2018 12:02:34 AM,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,,02 BROOKLYN,3000250001,BROOKLYN,985820,195386,ONLINE,Unspecified,BROOKLYN,,,Other,,,,,40.702966061763576,-73.99433761841742,"(40.702966061763576, -73.99433761841742)"
40166902,09/02/2018 12:02:39 AM,09/02/2018 02:43:07 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,194 STANHOPE STREET,STANHOPE STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2018 08:02:39 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 02:43:07 AM,04 BROOKLYN,3032680031,BROOKLYN,1006063,194232,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.69977185721923,-73.92133272090634,"(40.69977185721923, -73.92133272090634)"
40162849,09/02/2018 12:02:44 AM,09/02/2018 12:28:48 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10009,509 EAST 11 STREET,EAST 11 STREET,AVENUE A,AVENUE B,,,ADDRESS,NEW YORK,,Precinct,Closed,09/02/2018 08:02:44 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 12:28:48 AM,03 MANHATTAN,1004050057,MANHATTAN,989432,204599,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.728252163547,-73.98130344237208,"(40.728252163547, -73.98130344237208)"
40165946,09/02/2018 12:02:47 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1305 SHERIDAN AVENUE,SHERIDAN AVENUE,EAST 169 STREET,MARCY PLACE,,,ADDRESS,BRONX,,Precinct,Open,09/02/2018 08:02:47 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,04 BRONX,2028310028,BRONX,1007923,244006,PHONE,Unspecified,BRONX,,,,,,,,40.83638368952555,-73.91444943349805,"(40.83638368952555, -73.91444943349805)"
40167237,09/02/2018 12:02:51 AM,09/02/2018 04:58:46 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11366,75-21 198 STREET,198 STREET,75 AVENUE,UNION TURNPIKE,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,09/02/2018 08:02:51 AM,The Police Department issued a summons in response to the complaint.,09/02/2018 04:58:46 AM,08 QUEENS,4072150076,QUEENS,1047150,206413,MOBILE,Unspecified,QUEENS,,,,,,,,40.73300901131419,-73.77304154109382,"(40.73300901131419, -73.77304154109382)"
40164525,09/02/2018 12:02:58 AM,09/02/2018 09:24:56 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10462,753 VAN NEST AVENUE,VAN NEST AVENUE,HOLLAND AVENUE,WALLACE AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2018 08:02:58 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 09:24:56 AM,11 BRONX,2040350028,BRONX,1021985,246868,ONLINE,Unspecified,BRONX,,,,,,,,40.84419014666915,-73.86361550046657,"(40.84419014666915, -73.86361550046657)"
40168219,09/02/2018 12:02:59 AM,09/02/2018 01:35:46 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11436,,,,,123 AVENUE,143 STREET,INTERSECTION,JAMAICA,,Precinct,Closed,09/02/2018 08:02:59 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 01:35:46 AM,12 QUEENS,,QUEENS,1040915,185134,ONLINE,Unspecified,QUEENS,,,,,,,,40.674645461432256,-73.7957179023611,"(40.674645461432256, -73.7957179023611)"
40167370,09/02/2018 12:03:09 AM,09/02/2018 07:27:32 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10455,420 EAST 146 STREET,EAST 146 STREET,WILLIS AVENUE,BROOK AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2018 08:03:09 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 07:27:32 AM,01 BRONX,2022900110,BRONX,1006810,235787,PHONE,Unspecified,BRONX,,,,,,,,40.813827794061396,-73.91849927625776,"(40.813827794061396, -73.91849927625776)"
40163344,09/02/2018 12:03:14 AM,09/02/2018 12:28:47 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10009,509 EAST 11 STREET,EAST 11 STREET,AVENUE A,AVENUE B,,,ADDRESS,NEW YORK,,Precinct,Closed,09/02/2018 08:03:14 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 12:28:47 AM,03 MANHATTAN,1004050057,MANHATTAN,989432,204599,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.728252163547,-73.98130344237208,"(40.728252163547, -73.98130344237208)"
40166168,09/02/2018 12:03:19 AM,09/02/2018 01:26:31 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11208,79 ELTON STREET,ELTON STREET,RIDGEWOOD AVENUE,ARLINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2018 08:03:19 AM,The Police Department issued a summons in response to the complaint.,09/02/2018 01:26:31 AM,05 BROOKLYN,3039260009,BROOKLYN,1016110,187685,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68177139768174,-73.88512981429623,"(40.68177139768174, -73.88512981429623)"
40167140,09/02/2018 12:03:24 AM,09/02/2018 11:43:57 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10302,911 POST AVENUE,POST AVENUE,CORTLANDT STREET,SIMONSON PLACE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/02/2018 08:03:24 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 11:43:57 PM,01 STATEN ISLAND,5010270010,STATEN ISLAND,947805,169298,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6312854800653,-74.1313018603108,"(40.6312854800653, -74.1313018603108)"
40169890,09/02/2018 12:03:31 AM,09/02/2018 02:39:59 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373,83-45 BROADWAY,BROADWAY,DONGAN AVENUE,ST JAMES AVENUE,,,ADDRESS,ELMHURST,,Precinct,Closed,09/02/2018 08:03:31 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/02/2018 02:39:59 AM,04 QUEENS,4015810001,QUEENS,1017847,208967,PHONE,Unspecified,QUEENS,,,,,,,,40.74017895048148,-73.8787609251641,"(40.74017895048148, -73.8787609251641)"
40167363,09/02/2018 12:03:33 AM,09/02/2018 03:03:52 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,387 EAST 35 STREET,EAST 35 STREET,TILDEN AVENUE,BEVERLEY ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2018 08:03:33 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 03:03:52 AM,17 BROOKLYN,3049200034,BROOKLYN,999735,174573,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.64582566241245,-73.94419943034299,"(40.64582566241245, -73.94419943034299)"
40166924,09/02/2018 12:03:54 AM,09/02/2018 12:29:51 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10025,850 WEST END AVENUE,WEST END AVENUE,WEST 101 STREET,WEST 102 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/02/2018 08:03:54 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 12:29:51 AM,07 MANHATTAN,1018730063,MANHATTAN,992386,230300,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79879255263061,-73.97061436003844,"(40.79879255263061, -73.97061436003844)"
40167303,09/02/2018 12:04:13 AM,09/02/2018 02:51:24 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040,71 ARDEN STREET,ARDEN STREET,SHERMAN AVENUE,DONGAN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/02/2018 08:04:13 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 02:51:24 AM,12 MANHATTAN,1021750136,MANHATTAN,1004186,253771,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.863194943624876,-73.92792533196561,"(40.863194943624876, -73.92792533196561)"
40165972,09/02/2018 12:05:02 AM,09/02/2018 03:14:08 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,108-69 53 AVENUE,53 AVENUE,CORONA AVENUE,111 STREET,,,ADDRESS,CORONA,,Precinct,Closed,09/02/2018 08:05:02 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 03:14:08 AM,04 QUEENS,4020080148,QUEENS,1025086,210080,PHONE,Unspecified,QUEENS,,,,,,,,40.74320339122499,-73.85263135504478,"(40.74320339122499, -73.85263135504478)"
40166248,09/02/2018 12:05:05 AM,09/02/2018 12:38:03 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11249,117 SOUTH 4 STREET,SOUTH 4 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2018 08:05:05 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 12:38:03 AM,01 BROOKLYN,3024300029,BROOKLYN,994369,198723,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71211969078851,-73.96349967554994,"(40.71211969078851, -73.96349967554994)"
40168340,09/02/2018 12:05:10 AM,09/02/2018 02:51:25 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10463,40 WEST 225 STREET,WEST 225 STREET,WEST 225 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2018 08:05:10 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 02:51:25 AM,07 BRONX,1022150700,BRONX,1009704,257583,ONLINE,Unspecified,BRONX,,,,,,,,40.87364352990189,-73.90796162633521,"(40.87364352990189, -73.90796162633521)"
40169361,09/02/2018 12:05:16 AM,09/02/2018 01:17:16 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11210,1040 EAST 38 STREET,EAST 38 STREET,DEAD END,AVENUE I,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2018 08:05:16 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 01:17:16 AM,18 BROOKLYN,3075830001,BROOKLYN,1001004,168819,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63002985450977,-73.93964084703134,"(40.63002985450977, -73.93964084703134)"
40166475,09/02/2018 12:05:17 AM,09/02/2018 04:26:23 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11201,216 DUFFIELD STREET,DUFFIELD STREET,WILLOUGHBY STREET,FULTON STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2018 08:05:17 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/02/2018 04:26:23 AM,02 BROOKLYN,3001450026,BROOKLYN,988582,191245,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.691599059545375,-73.98437881826075,"(40.691599059545375, -73.98437881826075)"
40167103,09/02/2018 12:05:22 AM,09/02/2018 05:10:57 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10455,413 EAST 146 STREET,EAST 146 STREET,WILLIS AVENUE,BROOK AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2018 08:05:22 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 05:10:57 AM,01 BRONX,2022910023,BRONX,1006783,235809,PHONE,Unspecified,BRONX,,,,,,,,40.81388824680213,-73.91859674310358,"(40.81388824680213, -73.91859674310358)"
40170172,09/02/2018 12:05:25 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1201 OGDEN AVENUE,OGDEN AVENUE,WEST 167 STREET,WEST 168 STREET,,,ADDRESS,BRONX,,Precinct,Open,09/02/2018 08:05:25 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,04 BRONX,2025280029,BRONX,1004566,244546,ONLINE,Unspecified,BRONX,,,,,,,,40.83787419318297,-73.92657947132132,"(40.83787419318297, -73.92657947132132)"
40167258,09/02/2018 12:05:30 AM,09/02/2018 02:26:41 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11103,24-21 STEINWAY STREET,STEINWAY STREET,ASTORIA BOULEVARD,25 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Closed,09/02/2018 08:05:30 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 02:26:41 AM,01 QUEENS,4006860008,QUEENS,1008866,219314,MOBILE,Unspecified,QUEENS,,,,,,,,40.76860837939452,-73.91113210684466,"(40.76860837939452, -73.91113210684466)"
40163311,09/02/2018 12:05:33 AM,09/02/2018 01:25:30 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10472,1207 BEACH AVENUE,BEACH AVENUE,GLEASON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2018 08:05:33 AM,The Police Department reviewed your complaint and provided additional information below.,09/02/2018 01:25:30 AM,09 BRONX,2037630001,BRONX,1021327,241829,ONLINE,Unspecified,BRONX,,,,,,,,40.83036235589997,-73.86602154214397,"(40.83036235589997, -73.86602154214397)"
40164830,09/02/2018 12:05:34 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10011,52 WEST 13 STREET,WEST 13 STREET,5 AVENUE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,N/A,Open,09/16/2018 12:05:34 AM,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,,02 MANHATTAN,1005760014,MANHATTAN,985419,207423,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.73600479113019,-73.9957817794853,"(40.73600479113019, -73.9957817794853)"
40166457,09/02/2018 12:06:11 AM,09/02/2018 01:01:51 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,185 ERASMUS STREET,ERASMUS STREET,LLOYD STREET,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2018 08:06:11 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 01:01:51 AM,17 BROOKLYN,3051050043,BROOKLYN,998197,176012,PHONE,Unspecified,BROOKLYN,,,,,,,,40.649777960914705,-73.94973867371624,"(40.649777960914705, -73.94973867371624)"
40170115,09/02/2018 12:06:38 AM,09/02/2018 05:26:14 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11216,732 ST MARKS AVENUE,ST MARKS AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2018 08:06:38 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2018 05:26:14 AM,08 BROOKLYN,3012270021,BROOKLYN,998429,185250,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.675133856026086,-73.94888317987001,"(40.675133856026086, -73.94888317987001)"
40167988,09/02/2018 12:06:43 AM,09/02/2018 08:52:30 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10025,419 WEST 115 STREET,WEST 115 STREET,MORNINGSIDE DRIVE,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/02/2018 08:06:43 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2018 08:52:30 AM,09 MANHATTAN,1018670046,MANHATTAN,995241,232795,PHONE,Unspecified,MANHATTAN,,,,,,,,40.805637553260205,-73.9602985756961,"(40.805637553260205, -73.9602985756961)"
40169471,09/02/2018 12:07:00 AM,09/02/2018 12:40:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11213,,,,,ST JOHNS PLACE,TROY AVENUE,INTERSECTION,BROOKLYN,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,09/02/2018 12:40:00 AM,08 BROOKLYN,,BROOKLYN,1001868,183705,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67088700272673,-73.9364892572286,"(40.67088700272673, -73.9364892572286)"
